Time,Temperature,OD
2021-12-15 13:03:56.016704,17.37,11.00
2021-12-15 13:04:56.109305,17.37,14.00
2021-12-15 13:05:56.212105,17.44,10.00
2021-12-15 13:06:56.313705,17.44,11.00
2021-12-15 13:07:56.407906,17.50,9.00
2021-12-15 13:08:56.498906,17.50,11.00
2021-12-15 13:09:56.606306,17.56,8.00
2021-12-15 13:10:56.690707,17.56,9.00
2021-12-15 13:11:56.802507,17.56,10.00
2021-12-15 13:12:56.897708,17.62,7.00
2021-12-15 13:13:56.999308,17.62,14.00
2021-12-15 13:14:57.106308,17.69,12.00
2021-12-15 13:15:57.202308,17.69,13.00
2021-12-15 13:16:57.299308,17.75,9.00
2021-12-15 13:17:57.396308,17.81,11.00
2021-12-15 13:18:57.492308,17.81,11.00
2021-12-15 13:19:57.588308,17.81,10.00
2021-12-15 13:20:57.685308,17.81,10.00
2021-12-15 13:21:57.770108,17.87,24.00
2021-12-15 13:22:57.895709,17.87,1.00
2021-12-15 13:23:57.988309,17.94,10.00
2021-12-15 13:24:58.087710,18.00,4.00
2021-12-15 13:25:58.176510,18.00,11.00
2021-12-15 13:26:58.278510,18.00,5.00
2021-12-15 13:27:58.377111,18.06,13.00
2021-12-15 13:28:58.465911,18.06,13.00
2021-12-15 13:29:58.563311,18.12,12.00
2021-12-15 13:30:58.667712,18.19,13.00
2021-12-15 13:31:58.765712,18.12,12.00
2021-12-15 13:32:58.848713,18.19,13.00
2021-12-15 13:33:58.972713,18.25,15.00
2021-12-15 13:34:59.071713,18.25,12.00
2021-12-15 13:35:59.168314,18.25,8.00
2021-12-15 13:36:59.265114,18.31,14.00
2021-12-15 13:37:59.361714,18.37,10.00
2021-12-15 13:38:59.454715,18.37,12.00
2021-12-15 13:39:59.544115,18.44,13.00
2021-12-15 13:40:59.636516,18.44,14.00
2021-12-15 13:41:59.732116,18.50,12.00
2021-12-15 13:42:59.844716,18.50,10.00
2021-12-15 13:43:59.954117,18.56,11.00
2021-12-15 13:45:00.049517,18.56,8.00
2021-12-15 13:46:00.140118,18.56,15.00
2021-12-15 13:47:00.236118,18.62,11.00
